,seas_id,experience,g,ts_percent,x3p_ar,f_tr,orb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,dws,ws_48,obpm,dbpm,vorp,x3p,x3p_percent,x2p_percent,ft,ft_percent,trb,ast,stl,blk,tov,pf,pts,attend,tm_win_percent,seas_avg_attend,Pos_PF,Pos_PF-SF,Pos_PG,Pos_SF,Pos_SF-SG,Pos_SG,Pos_SG-PG
296,30754,9,63,0.606,0.393,0.375,2.7,7.2,10.3,1.1,2.1,9.8,22.8,1.0,0.087,1.3,-1.4,1.0,144.0,0.401,0.523,278,0.813,283.0,150,51.0,53.0,116.0,152,1290,767374.0,0.4024390243902439,739389.365131579,1,0,0,0,0,0,0
297,30755,2,43,0.548,0.448,0.169,9.2,11.9,7.0,1.4,1.2,6.7,14.6,0.8,0.111,-0.8,-0.7,0.1,37.0,0.333,0.533,35,0.833,180.0,43,24.0,11.0,19.0,71,292,636903.0,0.4878048780487805,739389.365131579,1,0,0,0,0,0,0
298,30756,1,56,0.509,0.243,0.21,6.9,11.0,13.6,1.4,1.3,13.9,19.8,0.7,0.005,-2.8,-1.2,-0.7,33.0,0.246,0.519,81,0.698,295.0,142,43.0,23.0,97.0,138,614,694434.0,0.2682926829268293,739389.365131579,1,0,0,0,0,0,0
299,30757,2,52,0.78,0.009,0.15,13.3,16.4,4.0,0.9,3.2,19.1,7.4,0.9,0.153,-1.0,0.5,0.3,0.0,0.0,0.783,12,0.75,242.0,25,15.0,28.0,27.0,96,178,795110.0,0.573170731707317,739389.365131579,0,0,0,0,0,0,0
300,30758,5,81,0.56,0.596,0.067,2.1,5.8,14.5,1.7,1.3,11.8,15.3,2.3,0.092,-1.8,1.2,0.6,142.0,0.421,0.425,31,0.816,202.0,197,66.0,29.0,78.0,158,651,718786.0,0.7073170731707317,739389.365131579,0,0,1,0,0,0,0
301,30759,12,64,0.647,0.116,0.625,7.5,10.3,27.1,2.7,1.0,8.2,25.6,2.9,0.277,6.7,2.0,5.8,36.0,0.35,0.564,472,0.85,375.0,340,117.0,21.0,101.0,80,1466,807190.0,0.5365853658536586,739389.365131579,0,0,0,1,0,0,0
302,30760,2,69,0.595,0.249,0.312,13.2,15.8,10.1,0.8,2.7,13.3,19.3,1.2,0.132,-0.8,-0.4,0.2,21.0,0.25,0.621,79,0.752,280.0,68,16.0,30.0,59.0,126,456,699911.0,0.5487804878048781,739389.365131579,0,0,0,0,0,0,0
303,30761,9,74,0.621,0.757,0.064,1.7,6.0,9.1,1.1,0.7,8.3,14.3,1.1,0.083,-0.6,-0.6,0.3,142.0,0.426,0.551,18,0.643,164.0,101,34.0,13.0,41.0,140,562,724439.0,0.5487804878048781,739389.365131579,0,0,0,0,0,1,0
304,30762,9,46,0.616,0.819,0.085,1.4,6.4,18.4,1.5,0.5,17.6,12.6,1.2,0.107,-1.6,0.8,0.3,83.0,0.409,0.556,18,0.857,128.0,150,33.0,6.0,55.0,74,317,718786.0,0.7073170731707317,739389.365131579,0,0,0,1,0,0,0
305,30763,2,9,0.321,0.857,0.0,0.0,4.5,7.4,0.0,0.0,6.7,12.8,0.0,-0.076,-7.0,-3.6,-0.1,3.0,0.25,0.0,0,0.0,4.0,3,0.0,0.0,1.0,3,9,811261.0,0.5,739389.365131579,0,0,0,1,0,0,0
306,30764,7,66,0.655,0.151,0.581,5.9,17.3,22.9,1.4,4.6,11.9,37.0,3.9,0.259,6.8,2.3,6.4,66.0,0.33,0.587,661,0.857,670.0,274,66.0,112.0,226.0,205,2183,839261.0,0.6585365853658537,739389.365131579,0,0,0,0,0,0,0
307,30765,1,19,0.411,0.66,0.075,1.5,4.4,6.5,1.5,3.6,1.8,11.0,0.1,0.001,-5.4,-0.8,-0.2,8.0,0.229,0.5,3,0.75,17.0,11,7.0,9.0,1.0,22,45,767374.0,0.4024390243902439,739389.365131579,0,0,0,0,0,0,0
308,30766,6,71,0.593,0.339,0.252,3.9,11.9,5.3,0.9,2.9,9.1,17.1,2.1,0.095,-1.4,0.2,0.4,70.0,0.292,0.619,143,0.803,462.0,85,42.0,73.0,79.0,220,931,719787.0,0.5,739389.365131579,1,0,0,0,0,0,0
309,30767,4,72,0.542,0.553,0.113,4.5,11.0,8.2,2.4,1.5,9.9,10.4,2.5,0.111,-1.9,2.4,0.9,60.0,0.339,0.545,28,0.778,310.0,100,77.0,25.0,37.0,112,364,707836.0,0.6219512195121951,739389.365131579,0,0,0,0,0,1,0
